Dénomination,Voies d'admninistration,Autorisation,,
ALFALFA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALFALFA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALFATIL 125 mg/5 ml,poudre pour suspension buvable,orale,,
ALFATIL 250 mg/5 ml,poudre pour suspension buvable,orale,,
ALFATIL LP 500 mg,comprimé pelliculé à libération prolongée,orale,,
ALFUZOSINE BIOGARAN L.P. 10 mg,comprimé pelliculé à libération prolongée,orale,,
ALFUZOSINE CRISTERS LP 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE EG L.P. 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE EVOLUGEN L.P. 10 mg,comprimé pelliculé à libération prolongée,orale,,
ALFUZOSINE SANDOZ L.P. 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE SUN LP 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE TEVA SANTE L.P. 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE VIATRIS L.P. 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE ZENTIVA LP 10 mg,comprimé à libération prolongée,orale,,
ALFUZOSINE ZYDUS L.P. 10 mg,comprimé à libération prolongée,orale,,
ALGESAL BAUME,crème,cutanée,,
ALGESAL SURACTIVE,crème,cutanée,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM ARROW LAB 500 mg/267 mg pour 10 ml,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM BGR 500 mg/267 mg pour 10 ml,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM BIOGARAN CONSEIL 500 mg/267 mg,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM CRISTERS 500 mg/267 mg pour 10 ml,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM EG 500 mg/267 mg pour 10 mL,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM EG LABO CONSEIL 500 mg/267 mg pour 10 mL,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM SANDOZ 500 mg/267 mg,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM VIATRIS 500 mg/267 mg,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM VIATRIS CONSEIL 500 mg/267 mg MENTHE SANS SUCRE,suspension buvable,orale,,
ALGINATE DE SODIUM/BICARBONATE DE SODIUM ZENTIVA 500 mg/267 mg,suspension buvable,orale,,
ALIMTA 100 mg,poudre pour solution à diluer pour perfusion,intraveineuse,,
ALIMTA 500 mg,poudre pour solution à diluer pour perfusion,intraveineuse,,
ALIZEM 10 mg,capsule molle,orale,,
ALIZEM 30 mg,capsule molle,orale,,
ALKA SELTZER 324 mg,comprimé effervescent(e),orale,,
ALKERAN 2 mg,comprimé pelliculé,orale,,
ALKERAN 50 mg/10 ml,lyophilisat et  solution pour usage parentéral,intraveineuse,,
ALLERGIFLASH 0, collyre en solution,collyre en solution,,
ALLERGOCOMOD,collyre en solution,ophtalmique,,
ALLERGODIL 0, collyre en solution,collyre en solution,,
ALLIUM CEPA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALLIUM CEPA COMPOSE,orale/sublinguale,Autorisation active,,
ALLIUM CEPA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALLIUM CEPA WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
ALLIUM SATIVUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALLIUM SATIVUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALLIUM URSINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALLIUM URSINUM WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
ALLOPURINOL ARROW 100 mg,comprimé,orale,,
ALLOPURINOL ARROW 200 mg,comprimé,orale,,
ALLOPURINOL ARROW 300 mg,comprimé,orale,,
ALLOPURINOL BIOGARAN 100 mg,comprimé,orale,,
ALLOPURINOL BIOGARAN 200 mg,comprimé,orale,,
ALLOPURINOL BIOGARAN 300 mg,comprimé,orale,,
ALLOPURINOL CRISTERS 100 mg,comprimé,orale,,
ALLOPURINOL CRISTERS 200 mg,comprimé,orale,,
ALLOPURINOL CRISTERS 300 mg,comprimé,orale,,
ALLOPURINOL EG 100 mg,comprimé,orale,,
ALLOPURINOL EG 200 mg,comprimé,orale,,
ALLOPURINOL EG 300 mg,comprimé,orale,,
ALLOPURINOL SANDOZ 100 mg,comprimé,orale,,
ALLOPURINOL SANDOZ 200 mg,comprimé,orale,,
ALLOPURINOL SANDOZ 300 mg,comprimé,orale,,
ALLOPURINOL SUN 100 mg,comprimé,orale,,
ALLOPURINOL SUN 200 mg,comprimé,orale,,
ALLOPURINOL SUN 300 mg,comprimé,orale,,
ALLOPURINOL TEVA 100 mg,comprimé,orale,,
ALLOPURINOL TEVA 200 mg,comprimé,orale,,
ALLOPURINOL TEVA 300 mg,comprimé,orale,,
ALLOPURINOL VIATRIS 100 mg,comprimé,orale,,
ALLOPURINOL VIATRIS 200 mg,comprimé,orale,,
ALLOPURINOL VIATRIS 300 mg,comprimé,orale,,
ALLOPURINOL ZENTIVA 100 mg,comprimé,orale,,
ALLOPURINOL ZENTIVA 200 mg,comprimé,orale,,
ALLOPURINOL ZENTIVA 300 mg,comprimé,orale,,
ALLOXANUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALMOGRAN 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN ARROW 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN BIOGARAN 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN EG 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN TEVA 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN VIATRIS 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN ZENTIVA 12, comprimé pelliculé,comprimé pelliculé,,
ALMOTRIPTAN ZYDUS 12, comprimé pelliculé,comprimé pelliculé,,
ALNUS GLUTINOSA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALODONT,solution pour bain de bouche,voie buccale autre,,
ALOE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALOE COMPOSE,orale/sublinguale,Autorisation active,,
ALOE LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALONEST 1, solution pour pulvérisation nasale,solution pour pulvérisation,,
ALOPEXY 2 %,solution pour application,cutanée,,
ALOPEXY 50 mg/ml,solution pour application,cutanée,,
ALOPLASTINE,pâte pour application,cutanée,,
ALOSTIL 2 %,solution pour application,cutanée,,
ALOSTIL 5 %,mousse pour application,cutanée,,
ALPAGELLE,crème,vaginale,,
ALPHAGAN 0, collyre en solution,collyre en solution,,
ALPRAZOLAM ARROW 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM ARROW LAB 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM BIOGARAN 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM CRISTERS 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM EG 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM HCS 0, comprimé,comprimé,,
ALPRAZOLAM SANDOZ 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM TEVA 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM VIATRIS 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM ZENTIVA 0, comprimé sécable,comprimé sécable,,
ALPRAZOLAM ZYDUS 0, comprimé sécable,comprimé sécable,,
ALPRESS L.P. 2, comprimé osmotique à libération prolongée,comprimé osmotique,,
ALPRESS L.P. 5 mg,comprimé osmotique,orale,,
ALTEIS 10 mg,comprimé pelliculé,orale,,
ALTEIS 20 mg,comprimé pelliculé,orale,,
ALTEIS 40 mg,comprimé pelliculé,orale,,
ALTEISDUO 20 mg/12, comprimé pelliculé,comprimé pelliculé,,
ALTEISDUO 20 mg/25 mg,comprimé pelliculé,orale,,
ALTEISDUO 40 mg/12, comprimé pelliculé,comprimé pelliculé,,
ALTEISDUO 40 mg/25 mg,comprimé pelliculé,orale,,
ALTHAEA OFFICINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALUMINA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALUMINA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALUMINA WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
ALUNBRIG 180 mg,comprimé pelliculé,orale,,
ALUNBRIG 30 mg,comprimé pelliculé,orale,,
ALUNBRIG 90 mg + 180 mg,comprimé pelliculé et  comprimé pelliculé,orale,,
ALUNBRIG 90 mg,comprimé pelliculé,orale,,
ALVESCO 160 microgrammes/dose,solution pour inhalation,inhalée,,
ALVESCO 80 microgrammes/dose,solution pour inhalation,inhalée,,
ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 110 microgrammes,poudre et  solvant pour solution injectable,sous-cutanée,,
ALYOSTAL VENIN DE GUEPE POLISTES 110 microgrammes,poudre et  solvant pour solution injectable,sous-cutanée,,
ALYOSTAL VENIN DE GUEPE VESPULA 110 microgrammes,poudre et  solvant pour solution injectable,sous-cutanée,,
AMANITA COMPLEXE N°75,solution buvable en gouttes,sublinguale,,
AMAREL 1 mg,comprimé,orale,,
AMAREL 2 mg,comprimé,orale,,
AMAREL 3 mg,comprimé,orale,,
AMAREL 4 mg,comprimé,orale,,
AMBRA GRISEA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMBRA GRISEA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMBRA GRISEA WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
AMBRISENTAN ACCORD 10 mg,comprimé pelliculé,orale,,
AMBRISENTAN ACCORD 5 mg,comprimé pelliculé,orale,,
AMBRISENTAN EG 10 mg,comprimé pelliculé,orale,,
AMBRISENTAN EG 5 mg,comprimé pelliculé,orale,,
AMBRISENTAN MYLAN 10 mg,comprimé pelliculé,orale,,
AMBRISENTAN MYLAN 5 mg,comprimé pelliculé,orale,,
AMBRISENTAN STRAGEN 10 mg,comprimé pelliculé,orale,,
AMBRISENTAN STRAGEN 5 mg,comprimé pelliculé,orale,,
AMBRISENTAN TEVA 10 mg,comprimé pelliculé,orale,,
AMBRISENTAN TEVA 5 mg,comprimé pelliculé,orale,,
AMBROSIA ARTEMISIAEFOLIA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMBROXOL ARROW 30 mg,comprimé,orale,,
AMBROXOL BIOGARAN CONSEIL 0, solution buvable édulcorée au sorbitol,solution buvable,,
AMBROXOL BIOGARAN CONSEIL 30 mg,comprimé sécable,orale,,
AMBROXOL EG LABO CONSEIL 0, solution buvable,solution buvable,,
AMBROXOL EG LABO CONSEIL 30 mg,comprimé sécable,orale,,
AMBROXOL TEVA CONSEIL 30 mg,comprimé,orale,,
AMBROXOL VIATRIS CONSEIL 0, solution buvable,solution buvable,,
AMBROXOL VIATRIS CONSEIL 30 mg,comprimé,orale,,
AMILORIDE HYDROCHLOROTHIAZIDE TEVA 5 mg/50 mg,comprimé,orale,,
AMINOMIX 500 E,solution et  solution pour perfusion,intraveineuse,,
AMINOMIX 800 E,solution et  solution pour perfusion,intraveineuse,,
AMINOPLASMAL 12,solution pour perfusion,intraveineuse,,
AMINOPLASMAL 25,solution pour perfusion,intraveineuse,,
AMINOPLASMAL 8,solution pour perfusion,intraveineuse,,
AMINOSTAB,solution injectable pour perfusion,intraveineuse,,
AMINOVEN 10 POUR CENT,solution pour perfusion,intraveineuse,,
AMINOVEN 5 POUR CENT,solution pour perfusion,intraveineuse,,
AMIODARONE ALMUS 200 mg,comprimé sécable,orale,,
AMIODARONE ARROW LAB 200 mg,comprimé sécable,orale,,
AMIODARONE BIOGARAN 200 mg,comprimé sécable,orale,,
AMIODARONE CRISTERS 200 mg,comprimé sécable,orale,,
AMIODARONE EG 200 mg,comprimé sécable,orale,,
AMIODARONE SUN 200 mg,comprimé sécable,orale,,
AMIODARONE TEVA 200 mg,comprimé sécable,orale,,
AMIODARONE VIATRIS 200 mg,comprimé sécable,orale,,
AMIODARONE ZENTIVA 200 mg,comprimé sécable,orale,,
AMIRIOX 0, collyre en solution,collyre en solution,,
AMISULPRIDE ARROW LAB 100 mg,comprimé sécable,orale,,
AMISULPRIDE ARROW LAB 200 mg,comprimé sécable,orale,,
AMISULPRIDE ARROW LAB 400 mg,comprimé pelliculé sécable,orale,,
AMISULPRIDE BIOGARAN 100 mg,comprimé sécable,orale,,
AMISULPRIDE BIOGARAN 200 mg,comprimé sécable,orale,,
AMISULPRIDE BIOGARAN 400 mg,comprimé pelliculé sécable,orale,,
AMISULPRIDE EG 100 mg,comprimé sécable,orale,,
AMISULPRIDE EG 200 mg,comprimé sécable,orale,,
AMISULPRIDE EG 400 mg,comprimé pelliculé sécable,orale,,
AMISULPRIDE SANDOZ 100 mg,comprimé sécable,orale,,
AMISULPRIDE SANDOZ 200 mg,comprimé sécable,orale,,
AMISULPRIDE STRAGEN 100 mg/mL,solution buvable,orale,,
AMISULPRIDE TEVA 100 mg,comprimé sécable,orale,,
AMISULPRIDE TEVA 200 mg,comprimé sécable,orale,,
AMISULPRIDE TEVA 400 mg,comprimé pelliculé sécable,orale,,
AMISULPRIDE VIATRIS 100 mg,comprimé sécable,orale,,
AMISULPRIDE VIATRIS 200 mg,comprimé sécable,orale,,
AMISULPRIDE VIATRIS 400 mg,comprimé pelliculé sécable,orale,,
AMISULPRIDE ZENTIVA 100 mg,comprimé sécable,orale,,
AMISULPRIDE ZENTIVA 200 mg,comprimé sécable,orale,,
AMISULPRIDE ZENTIVA 400 mg,comprimé pelliculé sécable,orale,,
AMLODIPINE ALMUS 10 mg,gélule,orale,,
AMLODIPINE ALMUS 5 mg,gélule,orale,,
AMLODIPINE ARROW 10 mg,gélule,orale,,
AMLODIPINE ARROW 5 mg,gélule,orale,,
AMLODIPINE ARROW GENERIQUES 5 mg,gélule,orale,,
AMLODIPINE BIOGARAN 10 mg,gélule,orale,,
AMLODIPINE BIOGARAN 5 mg,gélule,orale,,
AMLODIPINE CRISTERS 10 mg,gélule,orale,,
AMLODIPINE CRISTERS 5 mg,gélule,orale,,
AMLODIPINE EG 10 mg,gélule,orale,,
AMLODIPINE EG 5 mg,gélule,orale,,
AMLODIPINE EVOLUGEN PHARMA 10 mg,gélule,orale,,
AMLODIPINE EVOLUGEN PHARMA 5 mg,gélule,orale,,
AMLODIPINE PFIZER 10 mg,gélule,orale,,
AMLODIPINE PFIZER 5 mg,gélule,orale,,
AMLODIPINE SANDOZ 10 mg,gélule,orale,,
AMLODIPINE SANDOZ 5 mg,gélule,orale,,
AMLODIPINE SUN 10 mg,gélule,orale,,
AMLODIPINE SUN 5 mg,gélule,orale,,
AMLODIPINE TEVA 10 mg,gélule,orale,,
AMLODIPINE TEVA 5 mg,gélule,orale,,
AMLODIPINE VIATRIS 10 mg,gélule,orale,,
AMLODIPINE VIATRIS 5 mg,gélule,orale,,
AMLODIPINE ZENTIVA 10 mg,gélule,orale,,
AMLODIPINE ZENTIVA 5 mg,gélule,orale,,
AMLODIPINE ZYDUS 10 mg,gélule,orale,,
AMLODIPINE ZYDUS 5 mg,gélule,orale,,
AMLODIPINE/VALSARTAN ACCORD 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ACCORD 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ACCORD 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ARROW 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ARROW 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ARROW 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN BIOGARAN 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN BIOGARAN 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN BIOGARAN 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN CRISTERS 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN CRISTERS 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN CRISTERS 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN EG LABO 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN EG LABO 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN EG LABO 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN EVOLUGEN 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN EVOLUGEN 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN EVOLUGEN 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN KRKA 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN KRKA 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN MYLAN 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN MYLAN 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN MYLAN 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN SANDOZ 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN SANDOZ 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN SANDOZ 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN TEVA SANTE 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN TEVA SANTE 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN TEVA SANTE 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ZENTIVA 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ZENTIVA 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ZENTIVA 5 mg/80 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ZYDUS 10 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ZYDUS 5 mg/160 mg,comprimé pelliculé,orale,,
AMLODIPINE/VALSARTAN ZYDUS 5 mg/80 mg,comprimé pelliculé,orale,,
AMLOR 10 mg,gélule,orale,,
AMLOR 5 mg,gélule,orale,,
AMMI VISNAGA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMMI VISNAGA WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
AMMONIUM CARBONICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMMONIUM CARBONICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMMONIUM MURIATICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMMONIUM MURIATICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMMONIUM PHOSPHORICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMMONIUM PHOSPHORICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AMOROLFINE ARROW 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE BGR 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE BIOGARAN CONSEIL 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE CRISTERS 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE EG 5%,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE EG LABO CONSEIL 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE SANDOZ 5%,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE SANDOZ CONSEIL 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE SUBSTIPHARM 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE TEVA 5%,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE URGO 5%,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE VIATRIS 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE VIATRIS CONSEIL 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE ZENTIVA 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOROLFINE ZYDUS 5 %,vernis à ongles médicamenteux(se),cutanée,,
AMOXICILLINE / ACIDE CLAVULANIQUE VIATRIS 500 mg/62, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1),comprimé pelliculé,,
AMOXICILLINE ACIDE CLAVULANIQUE ALMUS 100 mg/12, poudre pour suspension buvable (rapport amoxicilline/acide clavulanique : 8/1),poudre pour suspension buvable,,
AMOXICILLINE ACIDE CLAVULANIQUE ARROW 100 mg/12, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1),poudre pour suspension buvable,,
AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1),poudre pour suspension buvable,,
AMOXICILLINE ACIDE CLAVULANIQUE ZYDUS FRANCE 100 mg/12, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1),poudre pour suspension buvable,,
AMOXICILLINE ALMUS 1 g,comprimé dispersible,orale,,
AMOXICILLINE ALMUS 500 mg,gélule,orale,,
AMOXICILLINE ARROW 1 g,comprimé pelliculé dispersible,orale,,
AMOXICILLINE ARROW 125 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE ARROW 250 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE ARROW 500 mg,gélule,orale,,
AMOXICILLINE ARROW 500 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE ARROW LAB 1 g,comprimé dispersible,orale,,
AMOXICILLINE ARROW LAB 500 mg,gélule,orale,,
AMOXICILLINE BGR 1 g,comprimé dispersible,orale,,
AMOXICILLINE BIOGARAN 125 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE BIOGARAN 250 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE BIOGARAN 500 mg,gélule,orale,,
AMOXICILLINE BIOGARAN 500 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE CRISTERS 1 g,comprimé dispersible,orale,,
AMOXICILLINE CRISTERS 500 mg,gélule,orale,,
AMOXICILLINE EG 1 g,comprimé dispersible,orale,,
AMOXICILLINE EG LABO 125 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE EG LABO 250 mg / 5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE EG LABO 500 mg,gélule,orale,,
AMOXICILLINE EG LABO 500 mg/5 mL,poudre pour suspension buvable,orale,,
AMOXICILLINE EVOLUGEN 1 g,comprimé dispersible,orale,,
AMOXICILLINE KRKA 1 g,comprimé dispersible sécable,orale,,
AMOXICILLINE PANPHARMA 1 g,poudre pour solution injectable,intramusculaire/intraveineuse,,
AMOXICILLINE PANPHARMA 1 g/5 ml,poudre et  solution pour solution injectable,intramusculaire,,
AMOXICILLINE PANPHARMA 2 g,poudre pour solution injectable,intraveineuse,,
AMOXICILLINE PANPHARMA 500 mg,poudre pour solution injectable,intramusculaire/intraveineuse,,
AMOXICILLINE SANDOZ 1 g,comprimé dispersible,orale,,
AMOXICILLINE SANDOZ 125 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE SANDOZ 250 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE SANDOZ 500 mg,gélule,orale,,
AMOXICILLINE SANDOZ 500 mg/5 ml,poudre pour suspension buvable,orale,,
AMOXICILLINE TEVA SANTE 1 g,comprimé dispersible,orale,,
